src,dst,type,event_floor,reveal_floor,ended_event_floor,ended_reveal_floor,confidence
carl,donut,party,0,0,,,certain
carl,beatrice,kin,0,0,,,certain
donut,beatrice,kin,0,0,,,certain
carl,monobrow_sam,allied,0,0,,,certain
carl,crawlers,subordinate,0,0,,,certain
donut,crawlers,subordinate,0,0,,,certain
carl,the_system,hostile,0,1,,,probable
carl,mordecai,sponsor,1,1,,,certain
donut,mordecai,sponsor,1,1,,,certain
carl,borant,hostile,1,1,,,certain
donut,borant,hostile,1,1,,,probable
borant,syndicate,subordinate,1,1,,,certain
bopca,borant,subordinate,1,1,,,probable
donut,royal_court,sponsor,1,1,,,certain
carl,hekla,allied,1,1,,,probable
carl,frank_q,allied,1,1,,,probable
carl,imani,allied,1,1,,,probable
carl,chris_andrews,allied,1,1,,,probable
carl,elle_mcgibbons,allied,1,1,,,probable
imani,chris_andrews,party,1,1,,,probable
hekla,crawlers,subordinate,1,1,,,certain
imani,crawlers,subordinate,1,1,,,certain
elle_mcgibbons,crawlers,subordinate,1,1,,,certain
frank_q,crawlers,subordinate,1,1,,,certain
chris_andrews,crawlers,subordinate,1,1,,,certain
li_jun,li_na,kin,2,2,,,probable
li_jun,crawlers,subordinate,2,2,,,certain
li_na,crawlers,subordinate,2,2,,,certain
donut,mongo,party,2,2,,,certain
carl,mongo,party,2,2,,,certain
mongo,royal_court,subordinate,2,2,,,probable
carl,maestro,hostile,2,2,,,probable
maestro,borant,allied,2,2,,,probable
carl,miriam_dom,allied,2,2,,,probable
miriam_dom,crawlers,subordinate,2,2,,,certain
carl,katia_grim,allied,3,3,,,certain
donut,katia_grim,allied,3,3,,,certain
katia_grim,crawlers,subordinate,3,3,,,certain
carl,tsarina_signet,allied,3,3,,,probable
donut,tsarina_signet,allied,3,3,,,probable
carl,quan_ch,hostile,3,3,,,probable
donut,quan_ch,hostile,3,3,,,probable
carl,prepotente,allied,3,3,,,inferred
carl,florin,allied,3,3,,,inferred
carl,bautista,allied,3,3,,,inferred
prepotente,crawlers,subordinate,3,3,,,certain
florin,crawlers,subordinate,3,3,,,certain
bautista,crawlers,subordinate,3,3,,,certain
quan_ch,crawlers,subordinate,3,3,,,certain
carl,le_mouvement,hostile,1,1,,,inferred
skull_empire,syndicate,subordinate,2,2,,,inferred
ferdinand,crawlers,subordinate,1,1,,,certain
carl,ferdinand,allied,1,1,,,inferred
