id,type,canonical_name,introduced_floor,description,system_quote,notes
carl,character,Carl,0,"Before entering the Dungeon, Carl was a 27-year-old U.S. Coast Guard veteran who worked as a marine technician ""fixing electrical systems for rich assholes and their party boats."" He shared a two-bedroom apartment in Seattle, WA, with his girlfriend Beatrice and her award-winning cat, Princess Donut the Queen Anne Chonk.",,"Crawler 4122. Coast Guard veteran, marine technician, Seattle."
donut,character,Princess Donut,0,,,Beatrice's award-winning show cat. Gains speech in the dungeon.
beatrice,character,Beatrice,0,"Beatrice's wealthy parents raised and showed Persian cats, and Beatrice proudly carried on the tradition: she took Donut to cat shows almost every weekend, and dedicated an entire bedroom of their two-bed apartment to displaying Donut's ribbons, trophies, and multitude of framed photos (plus a closet full of leggings).",,Carl's girlfriend and Donut's owner. Called Bea.
monobrow_sam,character,Monobrow Sam,0,"Sam has a reputation, at least by Donut's account, for being smelly and a bad influence: she recalls him coming over to play video games with Carl while the two ""lied about their exploits with women,"" she still uses him as her benchmark for a bad smell, comparing an unwashed army camp on the Eleventh Floor to him. Carl remembers their friendship more fondly.",,Carl's friend on Earth.
mordecai,character,Mordecai,1,"Mordecai is the Royal Court's primary source of Dungeon lore, tactical advice, and high-level alchemy, and an indentured employee of Borant Corporation tasked with helping the corporation run crawls. Normally he works as a Game Guide for the first three floors and as a magic guild master on the later ones, where he has relative freedom to pursue potion making and catch up with friends.",,Non-combatant NPC. Guide and trainer to Carl and Donut.
frank_q,character,Frank Q,1,"Frank Q lived near Seattle and introduced himself to other crawlers as an Immigration and Customs Enforcement agent. He is the talker of his partnership with Maggie My: calm, apologetic, reasonable, and a practiced enough liar to hold up under sustained questioning from Carl.",,
hekla,character,Hekla,1,"By Odette's account, Hekla was neither evil nor psychotic, but she was intensely practical and cunning, and she did not share Carl's sense of justice, which made her dangerous. Her voice carried very little emotion.",,
chris_andrews,character,Chris Andrews,1,"Chris is quiet but deeply empathetic, a capable maintenance and engineering hand with the same compulsive eye for looting that Carl has. His mother once mistook his silence for slowness and placed him in a special school, but as Brandon puts it, his brother is no fool, just a ""Silent Bob"" who is worth listening to on the rare occasions he speaks.",,
imani,character,Imani,1,"Before the Transformation, Imani was a caregiver at Meadow Lark Elder Care Facility in Wenatchee, WA. She entered the Dungeon with a number of patients and former staff members, and received a longsword in an early loot box.",,
ferdinand,character,Ferdinand,1,"An unneutered indoor-outdoor tomcat, Gravy Boat had fathered kittens on every female cat within three surrounding blocks and would sit in the tree outside the window whenever Donut was in heat. Beatrice called animal control on him twice without success and once got into a screaming fight with his owner over him.",,
elle_mcgibbons,character,Elle McGibbons,1,"Before her transformation in the Dungeon, Elle, pronounced ""el,"" was a dotty, wheelchair-bound widow and full-time resident of the Meadow Lark Adult Care Community in Wenatchee, Washington. Her dementia left her only inconsistently aware of her surroundings, but she remained friendly, affectionate, and unexpectedly bawdy, startlingly blunt in her flirting with Carl.",,
li_jun,character,Li Jun,2,"Li Jun is a thoughtful, gentle man who cares deeply for his family and his friends, and he keeps a mostly positive attitude despite the horrors of the crawl. Offered points enough to pull one companion out of a hopeless fight and pressed to name that person, he refused to name anyone at all, telling Zhang they would die together instead.",,
li_na,character,Li Na,2,"Li Na was the only member of her starting party who did not work at the warehouse the other three came out of. Zhang, her brother's best friend, counts her as family anyway.",,
maestro,character,Maestro,2,"The Maestro (or Prince Maestro) is first introduced as host of Death Watch Extreme Dungeon Mayhem, a production owned by his brother Prince Stalwart and funded by their father with what Zev describes as a small stipend.",,Show host and god sponsor.
mongo,character,Mongo,2,"Mongo is a highly aggressive and food-motivated dinosaur who views Princess Donut as his ""mommy."" Initially a hot-headed, untamable monster, he bonded with Donut after she taught him how to properly eviscerate Brindle Grubs. While he rarely listens to Carl, his loyalty to Donut is absolute, and he will instinctively throw himself into life-threatening danger to protect her.",,Donut's raptor companion.
miriam_dom,character,Miriam Dom,2,Bringing fifteen goats into the Dungeon and keeping every one of them alive was unusual enough that Mordecai raised her with Carl as a curiosity.,,
tsarina_signet,character,Tsarina Signet,3,"Tsarina Signet is the protagonist of Vengeance of the Daughter, a scripted Syndicate drama built around her quest for revenge. The show presents her as a sympathetic outcast — the daughter of the High Elf King Finian and a Naiad princess — hunted by the High Elves as a mongrel child of the king and rejected by both sides of her heritage.","The High-Elf King Finian, leader of the Liana Sector of the Hunting Grounds, was such a horny bastard, it was said he'd bedded women from over…",Summoner and fairy-class NPC of the Over City.
prepotente,character,Prepotente,3,"Prepotente was one of fifteen brown-and-white Boer goats that Miriam Dom shepherded into the Dungeon. Fittingly, prepotente is Italian for arrogant, bossy, and overbearing. During Third Floor class selection he consumed an Enhanced Pet Biscuit and was transformed into a bipedal Caprid, emerging in a full set of armor with a double-headed battleaxe to fight at Miriam's side.",,
florin,character,Florin,3,Florin fights with a magazine-fed Mossberg shotgun that never seems to run out of shells.,,
katia_grim,character,Katia Grim,3,"Katia was a university art professor in Reykjavík, Iceland, before the transformation. A single, well-traveled thirty-something, she's fluent in Icelandic, German, Russian, and English. She enters the Dungeon with her friend and fellow professor, Eva.",,
bautista,character,Daniel Bautista,3,,,
quan_ch,character,Quan Ch,3,"Quan Ch makes a poor first impression. Caught within the blast radius of a catastrophic failed spell, he publicly cursed out Carl and Donut in the group Quest chat rather than focusing on his own survival. His outburst earned him a swift block from Donut.",,
the_system,faction,The System,0,,,The dungeon's administrative intelligence.
crawlers,faction,The Crawlers,0,,,Surviving humans admitted to the dungeon.
syndicate,faction,The Syndicate,1,,,Galactic authority that licenses the show.
borant,faction,Borant Corporation,1,,,Operator of this season of Dungeon Crawler World.
bopca,faction,The Bopca,1,,,Species staffing safe rooms. Grouped as a faction; the schema has no species type.
royal_court,faction,Royal Court of Princess Donut,1,"Carl and Princess Donut were partied automatically the moment they descended into the Dungeon, since anyone entering at the same time is grouped by default. Donut holds Party Leader and dictates the group's branding and public-facing persona; Carl handles combat and supplies the explosives. Mongo, Donut's velociraptor pet, serves as Royal Steed.",,Donut's retinue of pets and followers.
le_mouvement,faction,Le Mouvement,1,Le Mouvement was a crawler party comprised of (150) African soldiers armed with AK-47s and at least one Red Cross worker. They were featured on the third episode of Dungeon Crawler World: Earth and descended to the Second Floor when the countdown timer struck 6 hours.,,
skull_empire,faction,Skull Empire,2,"The Skull Empire is a Syndicate system government of orcs, separate from the Orcish Supremacy, the orcish system ruled by the Tusklings. Zev ranked it among the largest and oldest of the Syndicate's governments, and warned that it is not known for measured responses to insults. The empire spans multiple home systems, makes its money selling weapons, and was once described as a strong ally of the Valtay Corporation.",,
surface,location,The Surface,0,,,"Earth above the dungeon, before and during the Transformation."
dungeon,location,The World Dungeon,0,,,Eighteen floors.
dungeon_entrance,location,Dungeon Entrance,0,"After the Transformation and subsequent System AI announcement, a trumpet-like horn sounds and 150,000 stairwells are randomly distributed in high population areas across Earth. Each stairwell entrance is marked by a spotlight-like light shining upward. Entering the stairwell is not enough to be classified as a ""crawler."" You must physically set foot on the First Floor.",,
floor_one,location,First Floor,1,"The First Floor of the Dungeon is accessed from the surface-level staircases that populate the Earth after the Transformation, and is considered a tutorial floor. It is a sprawling grid of passages and tunnels that look like they were hewn out of rock, and is located below the Earth's surface.",,Tutorial level beneath the ruins.
safe_room,location,Safe Room,1,,,"Rest, storage, and a shop between encounters."
floor_two,location,Second Floor,2,"The Second Floor closely mirrors the maze-like layout of the First Floor, a giant grid of wide thoroughfares and twisting tunnels, though the main arteries here are narrower.",,Second tutorial level.
floor_three,location,The Over City,3,,,"Third floor. Guarded medieval villages among monster-filled ruins, roughly the size of Arizona."
desperado_club,location,The Desperado Club,1,,,"Members-only crawler club. Named on floor 1 by the Desperado Pass tattoo, though crawlers reach it later, so its reveal floor is 1."
