entity_id,held_id,kind,slot,level,event_floor,reveal_floor,ended_event_floor,ended_reveal_floor,source,confidence
carl,nightgaunt_cloak,gear,Neck,,1,1,,,wiki:Carl-Floor_1,certain
carl,leather_coat,gear,Jacket,,1,1,,,wiki:Carl-Floor_1,certain
carl,trollskin_shirt,gear,Undershirt,,1,1,,,wiki:Carl-Floor_1,certain
carl,war_gauntlet_of_the_exalted_grull,gear,Wrists,,1,1,,,wiki:Carl-Floor_1,certain
carl,silver_ring,gear,Hands,,1,1,,,wiki:Carl-Floor_1,certain
carl,boxer_shorts,gear,Legs,,1,1,2,2,wiki:Carl-Floor_1,certain
carl,spiked_kneepads_of_the_shade_gnoll_riot_forces,gear,Knees,,1,1,,,wiki:Carl-Floor_1,certain
carl,splatter_skunk_toe_ring,gear,Feet,,1,1,,,wiki:Carl-Floor_1,certain
carl,desperado_pass_tattoo,gear,Tattoos,,1,1,,,wiki:Carl-Floor_1,certain
carl,goblin_pass_tattoo,gear,Tattoos,,1,1,,,wiki:Carl-Floor_1,certain
carl,bare_knuckle_skill,skill,,,1,1,2,2,wiki:Carl-Floor_1,certain
carl,chopper_pilot,skill,,5,1,1,,,wiki:Carl-Floor_1,certain
carl,dangerous_explosives,skill,,7,1,1,,,wiki:Carl-Floor_1,certain
carl,determine_value,skill,,2,1,1,,,wiki:Carl-Floor_1,certain
carl,explosives_handling,skill,,7,1,1,,,wiki:Carl-Floor_1,certain
carl,foot_soldier,skill,,6,1,1,,,wiki:Carl-Floor_1,certain
carl,goblin_explosives,skill,,5,1,1,,,wiki:Carl-Floor_1,certain
carl,ied_skill,skill,,7,1,1,,,wiki:Carl-Floor_1,certain
carl,iron_punch,skill,,2,1,1,,,wiki:Carl-Floor_1,certain
carl,powerful_strike_skill,skill,,3,1,1,,,wiki:Carl-Floor_1,certain
carl,pugilism_skill,skill,,10,1,1,,,wiki:Carl-Floor_1,certain
carl,regeneration_skill,skill,,7,1,1,,,wiki:Carl-Floor_1,certain
carl,smush_skill,skill,,6,1,1,,,wiki:Carl-Floor_1,certain
carl,unarmed_combat_skill,skill,,6,1,1,,,wiki:Carl-Floor_1,certain
carl,bigboi_boxers,gear,Legs,,2,2,,,wiki:Carl-Floor_2,certain
carl,pedicure_kit,gear,Other,,2,2,,,wiki:Carl-Floor_2,certain
carl,aiming_skill,skill,,4,2,2,,,wiki:Carl-Floor_2,certain
carl,slingshot_skill,skill,,3,2,2,,,wiki:Carl-Floor_2,certain
carl,steady_hand_skill,skill,,,2,2,,,wiki:Carl-Floor_2,certain
carl,incendiary_device_handling_skill,skill,,5,2,2,,,wiki:Carl-Floor_2,certain
donut,crown_of_the_sepsis_whore,gear,Head,,1,1,,,wiki:Donut-Floor_1,certain
donut,slate_butterfly_talisman,gear,Neck,,1,1,,,wiki:Donut-Floor_1,certain
donut,fae_scale_quadruped_crupper_of_the_fleet,gear,Waist,,1,1,,,wiki:Donut-Floor_1,certain
donut,bracelet,gear,Legs,,1,1,,,wiki:Donut-Floor_1,certain
donut,desperado_pass_tattoo,gear,Tattoos,,1,1,,,wiki:Donut-Floor_1,certain
donut,back_claw,skill,,,1,1,,,wiki:Donut-Floor_1,certain
donut,dodge_skill,skill,,,1,1,,,wiki:Donut-Floor_1,certain
donut,light_on_your_feet,skill,,4,1,1,,,wiki:Donut-Floor_1,certain
donut,good_first_impression_skill,skill,,5,1,1,,,wiki:Donut-Floor_1,certain
donut,slice_attack,skill,,,1,1,,,wiki:Donut-Floor_1,certain
donut,magic_missile,spell,,5,1,1,,,wiki:Donut-Floor_1,certain
donut,puddle_jumper,spell,,,1,1,,,wiki:Donut-Floor_1,certain
donut,torch_spell,spell,,,1,1,,,wiki:Donut-Floor_1,certain
donut,second_chance_spell,spell,,5,2,2,,,wiki:Donut-Floor_2,certain
donut,cat,race,,,0,0,,,wiki:Donut,certain
carl,human,race,,,0,0,3,3,wiki:Carl,certain
carl,primal,race,,,3,3,,,wiki:Carl,certain
carl,compensated_anarchist,class,,,3,3,,,wiki:Compensated_Anarchist_Class,certain
donut,former_child_actor,class,,,3,3,,,wiki:Former_Child_Actor_Class,certain
donut,artist_alley_mogul,class,,,3,3,,,wiki:Artist_Alley_Mogul_Class,certain
