entity_id,floor,level,str,int,con,dex,cha,source,confidence
carl,1,10,12,3,12,5,4,wiki:Carl-Floor_1,certain
carl,2,13,12,3,14,6,4,wiki:Carl-Floor_2,certain
carl,3,27,,,,,,wiki:Carl#Book_2,probable
carl,4,41,67,18,44,31,30,wiki:Carl#Book_3,probable
carl,5,47,,,,,,wiki:Carl#Book_4,probable
carl,6,63,,,,,,wiki:Carl#Book_5,probable
carl,7,73,,,,,,wiki:Carl#Book_6,probable
carl,8,81,,,,,,wiki:Carl#Book_7,probable
carl,9,84,,,,,,wiki:Carl#Book_8,probable
donut,1,10,20,26,2,12,43,wiki:Donut-Floor_1,certain
donut,2,11,21,27,4,12,45,wiki:Donut-Floor_2,certain
donut,3,26,33,38,7,22,96,wiki:Donut#Book_2,probable
donut,4,33,48,56,25,20,129,wiki:Donut#Book_3,probable
donut,5,39,,,,,,wiki:Donut#Book_4,probable
donut,6,63,,,,,,wiki:Donut#Book_5,probable
donut,7,63,,,,,,wiki:Donut#Book_6,probable
donut,8,135,,,,,,wiki:Donut#Book_7,probable
